Distance,Log_Entropy
152.0,11.090797295965524
162.0,11.081865587450576
172.0,11.07266702836126
212.0,11.053236456651618
252.0,11.044887901749453
312.0,11.042553767995877
372.0,11.0394919604213
442.0,11.048760756003286
502.0,11.060368749328214
562.0,11.066310183497022
612.0,11.08206562284212
672.0,11.099680169543102
722.0,11.1181628799952
714.0,11.111148547119075
664.0,11.10321134257265
614.0,11.079276908387776
564.0,11.068449221745771
514.0,11.057250685669086
464.0,11.053078085968867
414.0,11.040903800861177
364.0,11.039347455230905
314.0,11.042233598943882
264.0,11.04407317268166
204.0,11.058054753348685
154.0,11.087390293808129
214.0,11.052666204774926
264.0,11.04309782023831
324.0,11.039508015264646
374.0,11.043017831116789
434.0,11.05277711255522
494.0,11.054186154402569
554.0,11.065340645671654
604.0,11.081311434367002
654.0,11.095757140602533
704.0,11.11159679001446
732.0,11.121954803012517
682.0,11.103979305025408
642.0,11.09125475251513
592.0,11.074885510929885
542.0,11.066106971178531
492.0,11.056698500183844
452.0,11.04844256839719
402.0,11.042745820234675
352.0,11.041705095796598
302.0,11.03884955523427
252.0,11.04890390740204
202.0,11.058275364758341
152.0,11.092534518675446
196.0,11.065340645671654
246.0,11.046116726621012
246.0,11.051302618649801
246.0,11.049841837189659
246.0,11.047551104108155
246.0,11.04416905761981
246.0,11.04643565502429
246.0,11.050254883091284
246.0,11.047152872252308
246.0,11.04998483392481
246.0,11.047391830395945
246.0,11.047089140435771
246.0,11.048108362411792
246.0,11.04903113588867
246.0,11.047439615173316
246.0,11.045989126773959
246.0,11.048378918724966
246.0,11.05161989766763
246.0,11.04216955283066
246.0,11.049841837189659
246.0,11.048060609580439
246.0,11.05122328316379
246.0,11.047885496353372
246.0,11.052143188066092
246.0,11.049428620610616
246.0,11.047981016460426
246.0,11.049174248590166
246.0,11.04621241582256
246.0,11.049746494671592
246.0,11.047678504815401
246.0,11.051255018113492
246.0,11.050111924969828
246.0,11.050381939822286
246.0,11.0472962539905
246.0,11.046308095868557
246.0,11.052095627525478
246.0,11.050461342082116
246.0,11.05150886146178
246.0,11.04965114306246
246.0,11.049905393818637
246.0,11.046531313714157
246.0,11.04498370860291
246.0,11.0483152650012
246.0,11.051984644133235
246.0,11.04633998718296
246.0,11.050715386954158
246.0,11.049492203506839
246.0,11.05027076606553
246.0,11.045510482285986
246.0,11.046722603646513
246.0,11.05012781021482
256.0,11.047312184025786
266.0,11.047662580614597
286.0,11.042057462261363
326.0,11.042345669772764
366.0,11.036098610376367
416.0,11.044792085716162
466.0,11.049810057360315
516.0,11.059047121645987
566.0,11.06807483012777
616.0,11.081157448441012
666.0,11.09748577571486
716.0,11.118919449950958
720.0,11.116395320919644
660.0,11.096530846769337
610.0,11.079076314320059
560.0,11.069789641840794
510.0,11.057408396963119
460.0,11.048744849027281
400.0,11.04594127263337
350.0,11.037611762205596
290.0,11.034567031341739
240.0,11.049698820003517
190.0,11.06195554002416
158.0,11.084953977720833
208.0,11.054455071538166
258.0,11.044552505459624
308.0,11.038142432551167
358.0,11.041993404865915
408.0,11.04594127263337
458.0,11.052666204774926
518.0,11.063069501527256
568.0,11.070350214885682
618.0,11.080633718858344
668.0,11.09492208016396
728.0,11.120445681419383
698.0,11.111058874424351
648.0,11.09062950945059
608.0,11.076248288729296
558.0,11.067216320291932
508.0,11.05830687670137
458.0,11.050508980411925
418.0,11.042201576400009
368.0,11.038688889434853
318.0,11.039748806988994
268.0,11.047662580614597
218.0,11.051429542337106
168.0,11.078072739967473
170.0,11.074962991269288
220.0,11.056035474869876
270.0,11.041769171662445
320.0,11.040551027578491
370.0,11.040294387002207
420.0,11.046276203537067
480.0,11.054201975059602
530.0,11.05865344255235
580.0,11.069727336544824
630.0,11.089072328548786
680.0,11.100058027095303
730.0,11.123476412370751
716.0,11.11600871531202
676.0,11.102382486271477
626.0,11.083357195511171
576.0,11.072030051030096
526.0,11.063022457831494
476.0,11.051492998140159
426.0,11.040999990161794
376.0,11.041016020812398
326.0,11.040470834473451
276.0,11.044201017222873
226.0,11.054043757224957
176.0,11.071003819851448
