Distance,Log_Entropy
102.0,0.76903
112.0,0.7628
122.0,0.75801
152.0,0.75189
202.0,0.74348
252.0,0.7405
312.0,0.73994
372.0,0.74255
432.0,0.74587
502.0,0.75131
572.0,0.76147
652.0,0.7664
722.0,0.77838
792.0,0.79109
724.0,0.77684
654.0,0.76775
594.0,0.75679
544.0,0.75511
484.0,0.74924
434.0,0.74646
424.0,0.7433
394.0,0.74333
354.0,0.7437
304.0,0.74042
254.0,0.74004
194.0,0.74382
134.0,0.75407
124.0,0.7588
184.0,0.74416
244.0,0.74158
304.0,0.74157
364.0,0.74155
424.0,0.74406
494.0,0.75011
564.0,0.75686
644.0,0.76744
714.0,0.77522
784.0,0.79195
742.0,0.78013
672.0,0.76948
612.0,0.76291
552.0,0.75478
492.0,0.75021
422.0,0.74753
352.0,0.74174
282.0,0.74138
212.0,0.74278
152.0,0.75204
116.0,0.7626
186.0,0.74336
256.0,0.74158
326.0,0.74357
396.0,0.74176
456.0,0.74744
516.0,0.75111
576.0,0.75736
636.0,0.76693
706.0,0.77494
786.0,0.79328
730.0,0.7782
670.0,0.7682
610.0,0.76133
550.0,0.75213
490.0,0.75063
430.0,0.74662
370.0,0.7418
310.0,0.74263
240.0,0.73977
170.0,0.7493
110.0,0.76135
148.0,0.74892
208.0,0.74235
268.0,0.74028
338.0,0.74016
398.0,0.74243
458.0,0.74745
528.0,0.75235
598.0,0.76138
658.0,0.77024
718.0,0.77599
778.0,0.78813
748.0,0.78167
688.0,0.77327
628.0,0.76373
568.0,0.75898
508.0,0.75277
438.0,0.74606
368.0,0.74204
308.0,0.74017
248.0,0.74026
188.0,0.74397
118.0,0.75902
140.0,0.75433
200.0,0.74516
260.0,0.74084
330.0,0.74056
390.0,0.74329
460.0,0.748
520.0,0.75303
580.0,0.75856
640.0,0.76481
700.0,0.7767
760.0,0.78679
766.0,0.78909
706.0,0.77467
646.0,0.76515
576.0,0.75654
506.0,0.74984
436.0,0.74567
376.0,0.74273
316.0,0.73782
256.0,0.74086
196.0,0.74399
126.0,0.75649
132.0,0.75845
192.0,0.74753
252.0,0.74329
322.0,0.74183
382.0,0.74249
442.0,0.74514
502.0,0.74969
562.0,0.75625
622.0,0.76236
682.0,0.77493
742.0,0.78405
784.0,0.7923
724.0,0.77894
664.0,0.77158
604.0,0.76023
534.0,0.75464
474.0,0.74721
404.0,0.7416
334.0,0.74215
264.0,0.74179
194.0,0.7444
124.0,0.75868
134.0,0.75608
194.0,0.74517
254.0,0.741
314.0,0.73883
374.0,0.74037
434.0,0.74535
504.0,0.75098
564.0,0.75497
624.0,0.76497
694.0,0.77207
754.0,0.78245
772.0,0.78876
712.0,0.7763
662.0,0.76837
612.0,0.76155
552.0,0.75611
492.0,0.74962
432.0,0.74477
382.0,0.74168
312.0,0.73908
232.0,0.74172
152.0,0.75063
126.0,0.75607
206.0,0.74304
276.0,0.73889
346.0,0.74027
406.0,0.74409
466.0,0.74766
526.0,0.75318
586.0,0.75796
656.0,0.76639
716.0,0.77578
776.0,0.78997
750.0,0.77953
690.0,0.77641
630.0,0.7655
570.0,0.7552
510.0,0.75225
450.0,0.74719
390.0,0.74498
330.0,0.74223
270.0,0.74338
210.0,0.74239
140.0,0.7517
118.0,0.75963
178.0,0.74689
248.0,0.74068
308.0,0.73948
