Distance,Log_Entropy
152.0,0.65332
162.0,0.65014
182.0,0.64021
232.0,0.6284
312.0,0.62314
392.0,0.62248
502.0,0.63078
632.0,0.65215
704.0,0.67064
534.0,0.63673
334.0,0.62319
184.0,0.64222
424.0,0.62737
684.0,0.66277
592.0,0.64964
372.0,0.62596
152.0,0.65397
386.0,0.62647
626.0,0.65291
620.0,0.6513
510.0,0.63587
500.0,0.63107
480.0,0.62999
450.0,0.62871
390.0,0.62841
310.0,0.62403
210.0,0.6346
208.0,0.6352
258.0,0.62639
268.0,0.62638
288.0,0.62504
328.0,0.62619
388.0,0.6237
478.0,0.63355
578.0,0.64467
708.0,0.66956
648.0,0.6556
508.0,0.63487
348.0,0.62419
168.0,0.64864
320.0,0.62308
530.0,0.63735
620.0,0.65099
630.0,0.65125
650.0,0.65806
660.0,0.659
670.0,0.66229
690.0,0.66689
730.0,0.67829
696.0,0.66803
616.0,0.64855
516.0,0.63505
406.0,0.62534
276.0,0.62407
172.0,0.64429
342.0,0.62408
532.0,0.63548
742.0,0.68112
544.0,0.63696
344.0,0.62214
164.0,0.64947
394.0,0.62707
624.0,0.65311
632.0,0.65307
402.0,0.62347
162.0,0.65157
396.0,0.6254
666.0,0.65789
620.0,0.65011
420.0,0.62738
210.0,0.63454
298.0,0.62358
508.0,0.63631
728.0,0.67614
518.0,0.63562
288.0,0.62499
250.0,0.62864
500.0,0.63194
726.0,0.67627
516.0,0.63672
306.0,0.62459
212.0,0.6329
442.0,0.62573
522.0,0.6363
532.0,0.63761
542.0,0.63806
562.0,0.64406
602.0,0.65035
662.0,0.65827
742.0,0.67678
664.0,0.66221
564.0,0.64392
454.0,0.62817
324.0,0.62444
184.0,0.63967
264.0,0.62549
444.0,0.62763
654.0,0.65567
612.0,0.64997
372.0,0.62526
176.0,0.64484
406.0,0.62367
646.0,0.65595
600.0,0.64825
360.0,0.62635
178.0,0.64199
418.0,0.62666
658.0,0.65806
578.0,0.6445
318.0,0.62405
250.0,0.62825
550.0,0.64055
666.0,0.65903
396.0,0.62335
182.0,0.6382
462.0,0.62943
742.0,0.6806
444.0,0.6289
154.0,0.65461
454.0,0.62926
712.0,0.6715
382.0,0.62672
246.0,0.62746
536.0,0.63814
660.0,0.65816
610.0,0.6524
600.0,0.64702
580.0,0.6446
540.0,0.63498
480.0,0.63084
400.0,0.62468
300.0,0.62524
180.0,0.64253
258.0,0.62481
398.0,0.62398
548.0,0.63981
