Distance,Entropy
152.0,0.664185
154.0,0.662317
156.0,0.660402
158.0,0.659894
160.0,0.658466
162.0,0.657183
164.0,0.656266
166.0,0.655189
168.0,0.654671
170.0,0.654341
172.0,0.652799
174.0,0.651864
176.0,0.65149
178.0,0.651376
180.0,0.650154
182.0,0.649646
184.0,0.648521
186.0,0.649397
188.0,0.647869
190.0,0.646985
192.0,0.646126
194.0,0.646563
196.0,0.644643
198.0,0.644683
200.0,0.64496
202.0,0.643726
204.0,0.643475
206.0,0.642867
208.0,0.642894
210.0,0.641865
212.0,0.642079
214.0,0.641123
216.0,0.641611
218.0,0.640036
220.0,0.641067
222.0,0.639028
224.0,0.639013
226.0,0.639501
228.0,0.639923
230.0,0.637846
232.0,0.638021
234.0,0.637911
236.0,0.637156
238.0,0.637255
240.0,0.637279
242.0,0.636095
244.0,0.636536
246.0,0.636169
248.0,0.636374
250.0,0.636285
252.0,0.635552
254.0,0.635971
256.0,0.635548
258.0,0.635163
260.0,0.635047
262.0,0.635048
264.0,0.634159
266.0,0.634392
268.0,0.633865
270.0,0.634329
272.0,0.634068
274.0,0.633934
276.0,0.633204
278.0,0.633588
280.0,0.632992
282.0,0.632592
284.0,0.632694
286.0,0.633164
288.0,0.632942
290.0,0.632653
292.0,0.632294
294.0,0.633165
296.0,0.631911
298.0,0.631842
300.0,0.632265
302.0,0.633147
304.0,0.633118
306.0,0.632548
308.0,0.631854
310.0,0.631907
312.0,0.631294
314.0,0.631963
316.0,0.632042
318.0,0.631115
320.0,0.632487
322.0,0.631833
324.0,0.631874
326.0,0.631559
328.0,0.631013
330.0,0.631037
332.0,0.631275
334.0,0.631133
336.0,0.630587
338.0,0.630817
340.0,0.630714
342.0,0.631457
344.0,0.63092
346.0,0.631867
348.0,0.631456
350.0,0.631572
352.0,0.631032
354.0,0.631386
356.0,0.632123
358.0,0.631705
360.0,0.631802
362.0,0.631204
364.0,0.631299
366.0,0.6317
368.0,0.632855
370.0,0.631676
372.0,0.632166
374.0,0.633017
376.0,0.631747
378.0,0.631358
380.0,0.632024
382.0,0.630879
384.0,0.631891
386.0,0.632181
388.0,0.632361
390.0,0.631819
392.0,0.632311
394.0,0.632861
396.0,0.632159
398.0,0.633359
400.0,0.632746
402.0,0.632523
404.0,0.632286
406.0,0.632513
408.0,0.63266
410.0,0.634023
412.0,0.633255
414.0,0.633058
416.0,0.633628
418.0,0.634524
420.0,0.633445
422.0,0.633798
424.0,0.633968
426.0,0.634396
428.0,0.634063
430.0,0.634204
432.0,0.634042
434.0,0.634511
436.0,0.63466
438.0,0.635411
440.0,0.634642
442.0,0.634435
444.0,0.634931
446.0,0.634676
448.0,0.634991
450.0,0.636176
452.0,0.635962
454.0,0.635814
456.0,0.636107
458.0,0.63737
460.0,0.635747
462.0,0.636015
464.0,0.637069
466.0,0.636176
468.0,0.637171
470.0,0.637124
472.0,0.636989
474.0,0.637725
476.0,0.637403
478.0,0.638348
480.0,0.63842
482.0,0.637816
484.0,0.637698
486.0,0.638385
488.0,0.639818
490.0,0.639184
492.0,0.639998
494.0,0.639622
496.0,0.639598
498.0,0.638309
500.0,0.640414
502.0,0.639477
504.0,0.640993
506.0,0.640535
508.0,0.640696
510.0,0.641632
512.0,0.641313
514.0,0.642376
516.0,0.641585
518.0,0.641886
520.0,0.642548
522.0,0.642828
524.0,0.641934
526.0,0.643163
528.0,0.643114
530.0,0.642311
532.0,0.643482
534.0,0.643853
536.0,0.644317
538.0,0.645282
540.0,0.64355
542.0,0.644588
544.0,0.645207
546.0,0.646224
548.0,0.646439
550.0,0.645483
552.0,0.645342
554.0,0.646925
556.0,0.646583
558.0,0.646638
560.0,0.64727
562.0,0.647088
564.0,0.648408
566.0,0.647574
568.0,0.648449
570.0,0.648135
572.0,0.649251
574.0,0.649138
576.0,0.649612
578.0,0.649333
580.0,0.650491
582.0,0.649562
584.0,0.65069
586.0,0.650564
588.0,0.65075
590.0,0.651846
592.0,0.651558
594.0,0.652437
596.0,0.653362
598.0,0.652773
600.0,0.652166
602.0,0.653443
604.0,0.65385
606.0,0.6529
608.0,0.654079
610.0,0.653752
612.0,0.655408
614.0,0.655256
616.0,0.655906
618.0,0.656033
620.0,0.656784
622.0,0.656233
624.0,0.657571
626.0,0.656928
628.0,0.657098
630.0,0.657593
632.0,0.659693
634.0,0.658757
636.0,0.659526
638.0,0.660229
640.0,0.659361
642.0,0.659074
644.0,0.659504
646.0,0.662017
648.0,0.660733
650.0,0.661349
652.0,0.661922
654.0,0.662959
656.0,0.66287
658.0,0.663583
660.0,0.663985
662.0,0.66374
664.0,0.665435
666.0,0.66517
668.0,0.66396
670.0,0.664798
672.0,0.666137
674.0,0.66556
676.0,0.666873
678.0,0.66731
680.0,0.667683
682.0,0.66773
684.0,0.668816
686.0,0.668904
688.0,0.670119
690.0,0.669583
692.0,0.67032
694.0,0.670509
696.0,0.671108
698.0,0.671869
700.0,0.672201
702.0,0.672795
704.0,0.673145
706.0,0.67327
708.0,0.672599
710.0,0.674582
712.0,0.675068
714.0,0.674939
716.0,0.675881
718.0,0.676485
720.0,0.67635
722.0,0.676585
724.0,0.677798
726.0,0.67847
728.0,0.678776
730.0,0.679857
732.0,0.679476
734.0,0.678961
736.0,0.680791
738.0,0.680943
740.0,0.681647
742.0,0.681723
744.0,0.682616
746.0,0.682866
748.0,0.684053
750.0,0.684391
752.0,0.684941
754.0,0.68532
756.0,0.686331
758.0,0.686009
760.0,0.687399
762.0,0.688127
764.0,0.688881
