Distance,Entropy
152.0,0.663728
154.0,0.662385
156.0,0.66201
158.0,0.659559
160.0,0.659207
162.0,0.657692
164.0,0.657422
166.0,0.656971
168.0,0.655237
170.0,0.654146
172.0,0.653425
174.0,0.652519
176.0,0.65194
178.0,0.650436
180.0,0.650837
182.0,0.649328
184.0,0.648521
186.0,0.648573
188.0,0.647867
190.0,0.64699
192.0,0.646124
194.0,0.645693
196.0,0.645228
198.0,0.645161
200.0,0.64404
202.0,0.643905
204.0,0.643749
206.0,0.642889
208.0,0.642536
210.0,0.6414
212.0,0.641981
214.0,0.64204
216.0,0.641338
218.0,0.640924
220.0,0.642158
222.0,0.640419
224.0,0.639677
226.0,0.638837
228.0,0.638082
230.0,0.638066
232.0,0.638041
234.0,0.637046
236.0,0.638199
238.0,0.637721
240.0,0.636158
242.0,0.636489
244.0,0.637025
246.0,0.63594
248.0,0.635646
250.0,0.635923
252.0,0.634684
254.0,0.635238
256.0,0.635718
258.0,0.634259
260.0,0.634154
262.0,0.634697
264.0,0.633763
266.0,0.634216
268.0,0.634105
270.0,0.634575
272.0,0.633377
274.0,0.633866
276.0,0.633572
278.0,0.633713
280.0,0.633027
282.0,0.632976
284.0,0.633589
286.0,0.632221
288.0,0.633295
290.0,0.632413
292.0,0.632835
294.0,0.63196
296.0,0.632407
298.0,0.631772
300.0,0.632946
302.0,0.632618
304.0,0.632794
306.0,0.631908
308.0,0.632077
310.0,0.632279
312.0,0.632103
314.0,0.631231
316.0,0.632343
318.0,0.631381
320.0,0.631763
322.0,0.631095
324.0,0.631601
326.0,0.631593
328.0,0.631215
330.0,0.630489
332.0,0.631269
334.0,0.63127
336.0,0.631032
338.0,0.632004
340.0,0.630958
342.0,0.631894
344.0,0.631473
346.0,0.631223
348.0,0.631953
350.0,0.631017
352.0,0.63097
354.0,0.630512
356.0,0.631239
358.0,0.631175
360.0,0.631024
362.0,0.630613
364.0,0.631019
366.0,0.631648
368.0,0.632374
370.0,0.631699
372.0,0.631743
374.0,0.631833
376.0,0.632182
378.0,0.632
380.0,0.632172
382.0,0.632217
384.0,0.632577
386.0,0.632729
388.0,0.632832
390.0,0.632472
392.0,0.632178
394.0,0.632504
396.0,0.632363
398.0,0.633767
400.0,0.632394
402.0,0.633059
404.0,0.632239
406.0,0.633196
408.0,0.632562
410.0,0.63279
412.0,0.633576
414.0,0.63369
416.0,0.633946
418.0,0.633454
420.0,0.634431
422.0,0.634067
424.0,0.634609
426.0,0.633542
428.0,0.634205
430.0,0.634069
432.0,0.635041
434.0,0.634244
436.0,0.6345
438.0,0.634056
440.0,0.635396
442.0,0.634405
444.0,0.63561
446.0,0.635669
448.0,0.635762
450.0,0.63516
452.0,0.636215
454.0,0.635743
456.0,0.636337
458.0,0.635948
460.0,0.636535
462.0,0.637065
464.0,0.636947
466.0,0.636903
468.0,0.636608
470.0,0.637521
472.0,0.637319
474.0,0.638241
476.0,0.637778
478.0,0.637372
480.0,0.638015
482.0,0.638028
484.0,0.638188
486.0,0.638157
488.0,0.638728
490.0,0.639344
492.0,0.638924
494.0,0.640709
496.0,0.640198
498.0,0.63867
500.0,0.640077
502.0,0.640902
504.0,0.640423
506.0,0.64017
508.0,0.640849
510.0,0.641016
512.0,0.641779
514.0,0.641505
516.0,0.642062
518.0,0.641786
520.0,0.642388
522.0,0.642019
524.0,0.642322
526.0,0.643474
528.0,0.643351
530.0,0.643775
532.0,0.64452
534.0,0.643948
536.0,0.64442
538.0,0.644791
540.0,0.644686
542.0,0.645032
544.0,0.644076
546.0,0.64552
548.0,0.645986
550.0,0.64549
552.0,0.647216
554.0,0.646336
556.0,0.646527
558.0,0.647538
560.0,0.647423
562.0,0.647033
564.0,0.648549
566.0,0.647597
568.0,0.648224
570.0,0.648292
572.0,0.648198
574.0,0.648938
576.0,0.648688
578.0,0.649805
580.0,0.650368
582.0,0.649304
584.0,0.650606
586.0,0.650453
588.0,0.650649
590.0,0.65206
592.0,0.652313
594.0,0.651797
596.0,0.651922
598.0,0.65335
600.0,0.653324
602.0,0.65307
604.0,0.653484
606.0,0.653194
608.0,0.653385
610.0,0.655537
612.0,0.654034
614.0,0.655381
616.0,0.655841
618.0,0.65601
620.0,0.656667
622.0,0.656262
624.0,0.656566
626.0,0.657298
628.0,0.658321
630.0,0.658558
632.0,0.658677
634.0,0.658128
636.0,0.65973
638.0,0.659339
640.0,0.659492
642.0,0.660168
644.0,0.660173
646.0,0.661281
648.0,0.661053
650.0,0.661736
652.0,0.661949
654.0,0.662071
656.0,0.663171
658.0,0.663878
660.0,0.662706
662.0,0.663666
664.0,0.663505
666.0,0.665473
668.0,0.664571
670.0,0.666124
672.0,0.66514
674.0,0.666088
676.0,0.666836
678.0,0.666584
680.0,0.667248
682.0,0.668126
684.0,0.669138
686.0,0.668601
688.0,0.669886
690.0,0.669424
692.0,0.670647
694.0,0.671272
696.0,0.671724
698.0,0.671025
700.0,0.671991
702.0,0.673408
704.0,0.672842
706.0,0.672996
708.0,0.67449
710.0,0.675019
712.0,0.674496
714.0,0.675631
716.0,0.675545
718.0,0.675839
720.0,0.676469
722.0,0.677021
724.0,0.677265
726.0,0.678103
728.0,0.678474
730.0,0.679314
732.0,0.680488
734.0,0.680194
736.0,0.679876
738.0,0.68094
740.0,0.681883
742.0,0.682297
744.0,0.683155
746.0,0.683599
748.0,0.683658
750.0,0.684535
752.0,0.685298
754.0,0.685477
756.0,0.686595
758.0,0.686461
760.0,0.687546
762.0,0.688102
764.0,0.688789

