Distance,Entropy
152.0,0.66363
154.0,0.661919
156.0,0.661011
158.0,0.659806
160.0,0.659443
162.0,0.658631
164.0,0.657259
166.0,0.655484
168.0,0.654014
170.0,0.653845
172.0,0.652766
174.0,0.652384
176.0,0.652183
178.0,0.650082
180.0,0.650505
182.0,0.649734
184.0,0.649228
186.0,0.648253
188.0,0.647625
190.0,0.647095
192.0,0.645974
194.0,0.645343
196.0,0.64606
198.0,0.644413
200.0,0.644611
202.0,0.643878
204.0,0.643121
206.0,0.641905
208.0,0.642488
210.0,0.641934
212.0,0.642033
214.0,0.640785
216.0,0.640776
218.0,0.640631
220.0,0.640543
222.0,0.6396
224.0,0.638576
226.0,0.639168
228.0,0.639282
230.0,0.638931
232.0,0.63784
234.0,0.637661
236.0,0.637628
238.0,0.637595
240.0,0.637168
242.0,0.635713
244.0,0.636303
246.0,0.636391
248.0,0.636454
250.0,0.636018
252.0,0.63518
254.0,0.635077
256.0,0.635617
258.0,0.635086
260.0,0.635219
262.0,0.633899
264.0,0.63428
266.0,0.633391
268.0,0.6348
270.0,0.634039
272.0,0.633927
274.0,0.63378
276.0,0.633196
278.0,0.632377
280.0,0.633271
282.0,0.632993
284.0,0.634161
286.0,0.632873
288.0,0.633222
290.0,0.632465
292.0,0.632603
294.0,0.632862
296.0,0.633088
298.0,0.632428
300.0,0.631772
302.0,0.631169
304.0,0.632229
306.0,0.63214
308.0,0.631752
310.0,0.631039
312.0,0.632934
314.0,0.632475
316.0,0.631938
318.0,0.631941
320.0,0.631299
322.0,0.631114
324.0,0.631737
326.0,0.630624
328.0,0.631293
330.0,0.632444
332.0,0.631018
334.0,0.631696
336.0,0.631401
338.0,0.630942
340.0,0.631194
342.0,0.631937
344.0,0.6313
346.0,0.631966
348.0,0.63075
350.0,0.631334
352.0,0.630898
354.0,0.630968
356.0,0.631439
358.0,0.631946
360.0,0.631135
362.0,0.632186
364.0,0.631496
366.0,0.631591
368.0,0.632269
370.0,0.631276
372.0,0.631095
374.0,0.631614
376.0,0.631935
378.0,0.63228
380.0,0.631871
382.0,0.633286
384.0,0.631355
386.0,0.632261
388.0,0.63182
390.0,0.633039
392.0,0.632448
394.0,0.632926
396.0,0.632811
398.0,0.631946
400.0,0.632068
402.0,0.63227
404.0,0.633287
406.0,0.632824
408.0,0.633279
410.0,0.633189
412.0,0.633208
414.0,0.632949
416.0,0.633179
418.0,0.633792
420.0,0.633592
422.0,0.633606
424.0,0.633372
426.0,0.634556
428.0,0.633922
430.0,0.634691
432.0,0.634816
434.0,0.634753
436.0,0.634087
438.0,0.63453
440.0,0.635278
442.0,0.63503
444.0,0.635307
446.0,0.634909
448.0,0.635308
450.0,0.635818
452.0,0.634658
454.0,0.636203
456.0,0.635288
458.0,0.635867
460.0,0.636864
462.0,0.636491
464.0,0.637099
466.0,0.636745
468.0,0.637773
470.0,0.637544
472.0,0.637122
474.0,0.637224
476.0,0.637455
478.0,0.638483
480.0,0.638647
482.0,0.638298
484.0,0.63862
486.0,0.637973
488.0,0.638339
490.0,0.638824
492.0,0.638894
494.0,0.63979
496.0,0.640039
498.0,0.640645
500.0,0.640155
502.0,0.640415
504.0,0.639784
506.0,0.640965
508.0,0.640572
510.0,0.641207
512.0,0.641217
514.0,0.64223
516.0,0.64185
518.0,0.642363
520.0,0.642406
522.0,0.642382
524.0,0.642598
526.0,0.642824
528.0,0.643266
530.0,0.643429
532.0,0.644162
534.0,0.644056
536.0,0.64423
538.0,0.643063
540.0,0.644402
542.0,0.645115
544.0,0.645957
546.0,0.645409
548.0,0.64558
550.0,0.645948
552.0,0.64657
554.0,0.646082
556.0,0.645914
558.0,0.646681
560.0,0.647654
562.0,0.647766
564.0,0.646903
566.0,0.647483
568.0,0.648409
570.0,0.648539
572.0,0.648148
574.0,0.648892
576.0,0.648841
578.0,0.649549
580.0,0.650588
582.0,0.649446
584.0,0.651301
586.0,0.651333
588.0,0.651091
590.0,0.651648
592.0,0.650633
594.0,0.651708
596.0,0.651587
598.0,0.652361
600.0,0.653464
602.0,0.653712
604.0,0.653323
606.0,0.653668
608.0,0.654001
610.0,0.654417
612.0,0.65453
614.0,0.654999
616.0,0.656204
618.0,0.656176
620.0,0.656202
622.0,0.65671
624.0,0.656528
626.0,0.657882
628.0,0.657448
630.0,0.658312
632.0,0.658018
634.0,0.658482
636.0,0.65892
638.0,0.659075
640.0,0.659282
642.0,0.660549
644.0,0.660882
646.0,0.661232
648.0,0.6604
650.0,0.660337
652.0,0.661743
654.0,0.662633
656.0,0.663531
658.0,0.66271
660.0,0.663204
662.0,0.664561
664.0,0.664805
666.0,0.664687
668.0,0.664777
670.0,0.665125
672.0,0.66578
674.0,0.666155
676.0,0.667093
678.0,0.666959
680.0,0.667653
682.0,0.667743
684.0,0.668228
686.0,0.670032
688.0,0.669634
690.0,0.670392
692.0,0.670249
694.0,0.670585
696.0,0.671411
698.0,0.67168
700.0,0.671718
702.0,0.672831
704.0,0.672024
706.0,0.673295
708.0,0.674064
710.0,0.674318
712.0,0.674703
714.0,0.674621
716.0,0.675793
718.0,0.675752
720.0,0.676215
722.0,0.676891
724.0,0.677658
726.0,0.678793
728.0,0.678805
730.0,0.67847
732.0,0.679693
734.0,0.679534
736.0,0.679921
738.0,0.681201
740.0,0.681445
742.0,0.6822
744.0,0.683749
746.0,0.684557
748.0,0.683352
750.0,0.684251
752.0,0.684725
754.0,0.685523
756.0,0.68603
758.0,0.686675
760.0,0.687188
762.0,0.686914
764.0,0.688669
