Distance,Entropy
152.0,0.664106
152.0,0.663995
156.0,0.660977
160.0,0.658484
164.0,0.656219
168.0,0.65488
172.0,0.653514
176.0,0.650473
180.0,0.65039
184.0,0.649644
188.0,0.647564
192.0,0.646494
196.0,0.646252
200.0,0.643667
204.0,0.643568
208.0,0.642394
212.0,0.642147
216.0,0.641406
220.0,0.639765
224.0,0.640011
228.0,0.638176
232.0,0.637649
236.0,0.637962
240.0,0.637624
244.0,0.636055
248.0,0.63686
252.0,0.636116
256.0,0.634513
260.0,0.634709
264.0,0.633818
268.0,0.633954
272.0,0.633592
276.0,0.633246
280.0,0.632729
284.0,0.63275
288.0,0.632481
292.0,0.632933
296.0,0.632496
300.0,0.632066
304.0,0.631364
308.0,0.632685
312.0,0.631941
316.0,0.631046
320.0,0.631209
324.0,0.631615
328.0,0.631027
332.0,0.631281
336.0,0.631475
340.0,0.631647
344.0,0.63223
348.0,0.631817
352.0,0.632191
356.0,0.632241
360.0,0.631289
364.0,0.631841
368.0,0.631972
372.0,0.631332
376.0,0.631933
380.0,0.632854
384.0,0.633017
388.0,0.631198
392.0,0.631896
396.0,0.633289
400.0,0.632582
404.0,0.633847
408.0,0.632218
412.0,0.633894
416.0,0.633998
420.0,0.63343
424.0,0.634066
428.0,0.633474
432.0,0.634348
436.0,0.635663
440.0,0.635515
444.0,0.63521
448.0,0.635968
452.0,0.635374
456.0,0.636433
460.0,0.636161
464.0,0.63592
468.0,0.637839
472.0,0.637198
476.0,0.637826
480.0,0.638538
484.0,0.638042
488.0,0.639687
492.0,0.639097
496.0,0.640366
500.0,0.641006
504.0,0.64119
508.0,0.640201
512.0,0.641512
516.0,0.641906
520.0,0.64187
524.0,0.642472
528.0,0.642913
532.0,0.643811
536.0,0.643176
540.0,0.644992
544.0,0.645397
548.0,0.645427
552.0,0.645262
556.0,0.645976
560.0,0.647324
564.0,0.64838
568.0,0.648293
572.0,0.648401
576.0,0.649913
580.0,0.650043
584.0,0.650061
588.0,0.650859
592.0,0.651682
596.0,0.651992
600.0,0.652803
604.0,0.653099
608.0,0.654955
612.0,0.654714
616.0,0.655808
620.0,0.656175
624.0,0.656969
628.0,0.657943
632.0,0.658826
636.0,0.659583
640.0,0.659815
644.0,0.660328
648.0,0.660989
652.0,0.661305
656.0,0.661522
660.0,0.663347
664.0,0.665751
668.0,0.666321
672.0,0.666176
676.0,0.667675
680.0,0.667864
684.0,0.668014
688.0,0.669323
692.0,0.669857
696.0,0.670963
700.0,0.671498
704.0,0.673063
708.0,0.673457
712.0,0.673407
716.0,0.675876
720.0,0.677241
724.0,0.676318
728.0,0.678712
732.0,0.679403
736.0,0.680564
740.0,0.681485
744.0,0.682563
748.0,0.683548
752.0,0.685501
756.0,0.68662
760.0,0.687407
764.0,0.689088
