Distance,Entropy
152.0,0.66317
156.0,0.660908
160.0,0.659077
164.0,0.656704
168.0,0.655829
172.0,0.653197
176.0,0.652098
180.0,0.649849
184.0,0.649043
188.0,0.647506
192.0,0.646839
196.0,0.645303
200.0,0.644369
204.0,0.642591
208.0,0.642869
212.0,0.641129
216.0,0.640646
220.0,0.640542
224.0,0.639334
228.0,0.638402
232.0,0.638076
236.0,0.638145
240.0,0.636845
244.0,0.636957
248.0,0.635998
252.0,0.634296
256.0,0.634932
260.0,0.634939
264.0,0.634158
268.0,0.635032
272.0,0.633374
276.0,0.633274
280.0,0.633394
284.0,0.633271
288.0,0.633254
292.0,0.63222
296.0,0.632521
300.0,0.632341
304.0,0.632045
308.0,0.63235
312.0,0.631708
316.0,0.631902
320.0,0.631191
324.0,0.630725
328.0,0.631056
332.0,0.631289
336.0,0.631176
340.0,0.631502
344.0,0.632222
348.0,0.631566
352.0,0.63123
356.0,0.630716
360.0,0.631756
364.0,0.632023
368.0,0.632249
372.0,0.631129
376.0,0.632401
380.0,0.632292
384.0,0.63189
388.0,0.631857
392.0,0.631956
396.0,0.632584
400.0,0.633271
404.0,0.632506
408.0,0.633261
412.0,0.63311
416.0,0.633383
420.0,0.633011
424.0,0.633972
428.0,0.634792
432.0,0.634334
436.0,0.634286
440.0,0.63497
444.0,0.635279
448.0,0.635357
452.0,0.63679
456.0,0.63592
460.0,0.63648
464.0,0.636715
468.0,0.637687
472.0,0.637028
476.0,0.638315
480.0,0.637893
484.0,0.639562
488.0,0.639538
492.0,0.639844
496.0,0.639012
500.0,0.639443
504.0,0.640707
508.0,0.641637
512.0,0.640912
516.0,0.64156
520.0,0.642582
524.0,0.64351
528.0,0.644254
532.0,0.644689
536.0,0.644709
540.0,0.643894
544.0,0.645853
548.0,0.645618
552.0,0.646267
556.0,0.646488
560.0,0.646585
564.0,0.64775
568.0,0.647567
572.0,0.648457
576.0,0.648716
580.0,0.650166
584.0,0.649875
588.0,0.651467
592.0,0.65133
596.0,0.65237
600.0,0.652473
604.0,0.654102
608.0,0.653715
612.0,0.654773
616.0,0.655459
620.0,0.656372
624.0,0.657099
628.0,0.658286
632.0,0.658757
636.0,0.658227
640.0,0.660643
644.0,0.660626
648.0,0.661326
652.0,0.661487
656.0,0.662592
660.0,0.663283
664.0,0.664961
668.0,0.665182
672.0,0.66577
676.0,0.667176
680.0,0.667477
684.0,0.669036
688.0,0.669601
692.0,0.670484
696.0,0.67056
700.0,0.671831
704.0,0.673007
708.0,0.673161
712.0,0.674886
716.0,0.675194
720.0,0.676566
724.0,0.677113
728.0,0.678905
732.0,0.679172
736.0,0.679406
740.0,0.681958
744.0,0.682515
748.0,0.683824
752.0,0.685014
756.0,0.685496
760.0,0.687279
764.0,0.689867
