Distance,Entropy
152.0,0.66388
156.0,0.66149
160.0,0.658784
164.0,0.65708
168.0,0.655403
172.0,0.654109
176.0,0.651387
180.0,0.649621
184.0,0.647805
188.0,0.647814
192.0,0.646612
196.0,0.64491
200.0,0.645389
204.0,0.643867
208.0,0.642955
212.0,0.642025
216.0,0.640322
220.0,0.640833
224.0,0.638602
228.0,0.638946
232.0,0.638887
236.0,0.637313
240.0,0.636594
244.0,0.637333
248.0,0.636001
252.0,0.635231
256.0,0.635267
260.0,0.634472
264.0,0.634394
268.0,0.633114
272.0,0.63416
276.0,0.633075
280.0,0.632632
284.0,0.633072
288.0,0.633775
292.0,0.63226
296.0,0.632622
300.0,0.631872
304.0,0.632543
308.0,0.631738
312.0,0.631584
316.0,0.631104
320.0,0.63187
324.0,0.631316
328.0,0.631567
332.0,0.631323
336.0,0.630538
340.0,0.631908
344.0,0.631913
348.0,0.632421
352.0,0.631461
356.0,0.631444
360.0,0.632099
364.0,0.631557
368.0,0.631649
372.0,0.631992
376.0,0.631104
380.0,0.631205
384.0,0.632
388.0,0.631242
392.0,0.63179
396.0,0.633256
400.0,0.633208
404.0,0.632604
408.0,0.633234
412.0,0.633531
416.0,0.633296
420.0,0.633697
424.0,0.633569
428.0,0.634183
432.0,0.633609
436.0,0.634263
440.0,0.63529
444.0,0.634448
448.0,0.636669
452.0,0.635682
456.0,0.636399
460.0,0.637166
464.0,0.636201
468.0,0.637175
472.0,0.63746
476.0,0.637555
480.0,0.638926
484.0,0.637845
488.0,0.638422
492.0,0.638817
496.0,0.6392
500.0,0.639362
504.0,0.640302
508.0,0.640747
512.0,0.641443
516.0,0.641708
520.0,0.642421
524.0,0.642846
528.0,0.643757
532.0,0.643386
536.0,0.644866
540.0,0.644465
544.0,0.64617
548.0,0.645716
552.0,0.646288
556.0,0.646165
560.0,0.647129
564.0,0.64746
568.0,0.648343
572.0,0.648686
576.0,0.649435
580.0,0.65003
584.0,0.650086
588.0,0.651446
592.0,0.651499
596.0,0.652377
600.0,0.652765
604.0,0.653204
608.0,0.653898
612.0,0.65478
616.0,0.65605
620.0,0.655551
624.0,0.656826
628.0,0.657548
632.0,0.657296
636.0,0.658551
640.0,0.659267
644.0,0.660265
648.0,0.661915
652.0,0.662583
656.0,0.661624
660.0,0.664038
664.0,0.664846
668.0,0.664865
672.0,0.665996
676.0,0.667967
680.0,0.66774
684.0,0.668196
688.0,0.668409
692.0,0.669779
696.0,0.6712
700.0,0.672124
704.0,0.672491
708.0,0.674431
712.0,0.67495
716.0,0.675602
720.0,0.676932
724.0,0.677896
728.0,0.678514
732.0,0.679512
736.0,0.680714
740.0,0.682181
744.0,0.68291
748.0,0.684094
752.0,0.684539
756.0,0.685912
760.0,0.687035
764.0,0.68758
