Distance,Entropy
152.0,0.663412
154.0,0.661027
156.0,0.66097
158.0,0.660045
160.0,0.658874
162.0,0.658269
164.0,0.65716
166.0,0.655378
168.0,0.655379
170.0,0.654557
172.0,0.652635
174.0,0.652039
176.0,0.65169
178.0,0.651294
180.0,0.650209
182.0,0.650192
184.0,0.648101
186.0,0.648501
188.0,0.648323
190.0,0.647859
192.0,0.646719
194.0,0.645983
196.0,0.645626
198.0,0.644823
200.0,0.645273
202.0,0.643625
204.0,0.643427
206.0,0.643153
208.0,0.642319
210.0,0.642405
212.0,0.641857
214.0,0.641377
216.0,0.641201
218.0,0.640042
220.0,0.639979
222.0,0.640288
224.0,0.639424
226.0,0.638892
228.0,0.638793
230.0,0.639225
232.0,0.638565
234.0,0.638278
236.0,0.637851
238.0,0.636501
240.0,0.637218
242.0,0.636338
244.0,0.636758
246.0,0.636773
248.0,0.635504
250.0,0.636102
252.0,0.635487
254.0,0.635704
256.0,0.634744
258.0,0.634073
260.0,0.634757
262.0,0.634495
264.0,0.635652
266.0,0.633848
268.0,0.633752
270.0,0.633604
272.0,0.633567
274.0,0.632926
276.0,0.633138
278.0,0.633332
280.0,0.632735
282.0,0.633259
284.0,0.633482
286.0,0.632581
288.0,0.632865
290.0,0.632621
292.0,0.631869
294.0,0.632753
296.0,0.632311
298.0,0.63178
300.0,0.631645
302.0,0.630989
304.0,0.63232
306.0,0.632169
308.0,0.631954
310.0,0.63224
312.0,0.630738
314.0,0.631646
316.0,0.6315
318.0,0.632191
320.0,0.631298
322.0,0.631399
324.0,0.632737
326.0,0.631197
328.0,0.631133
330.0,0.63191
332.0,0.631427
334.0,0.631714
336.0,0.631364
338.0,0.63138
340.0,0.631095
342.0,0.631659
344.0,0.630772
346.0,0.631916
348.0,0.63192
350.0,0.631386
352.0,0.631865
354.0,0.63095
356.0,0.631113
358.0,0.631036
360.0,0.631784
362.0,0.631597
364.0,0.631694
366.0,0.632021
368.0,0.631769
370.0,0.632281
372.0,0.632065
374.0,0.632365
376.0,0.632443
378.0,0.632303
380.0,0.631709
382.0,0.631343
384.0,0.632143
386.0,0.632435
388.0,0.63225
390.0,0.632266
392.0,0.632151
394.0,0.632725
396.0,0.633654
398.0,0.633386
400.0,0.632702
402.0,0.632169
404.0,0.63412
406.0,0.633433
408.0,0.632763
410.0,0.633171
412.0,0.633453
414.0,0.633696
416.0,0.633466
418.0,0.632844
420.0,0.634286
422.0,0.633039
424.0,0.633548
426.0,0.634437
428.0,0.633789
430.0,0.63355
432.0,0.633865
434.0,0.634041
436.0,0.634212
438.0,0.634729
440.0,0.635165
442.0,0.635251
444.0,0.634216
446.0,0.635652
448.0,0.634903
450.0,0.636228
452.0,0.635562
454.0,0.635742
456.0,0.636494
458.0,0.636766
460.0,0.637481
462.0,0.636808
464.0,0.636998
466.0,0.636865
468.0,0.637505
470.0,0.636693
472.0,0.637139
474.0,0.638437
476.0,0.637837
478.0,0.638493
480.0,0.637566
482.0,0.638194
484.0,0.63812
486.0,0.639159
488.0,0.639024
490.0,0.6388
492.0,0.639106
494.0,0.639183
496.0,0.639696
498.0,0.638826
500.0,0.640414
502.0,0.640523
504.0,0.640825
506.0,0.640971
508.0,0.641052
510.0,0.641302
512.0,0.641419
514.0,0.641933
516.0,0.641994
518.0,0.642073
520.0,0.6427
522.0,0.642413
524.0,0.643166
526.0,0.643213
528.0,0.643416
530.0,0.643453
532.0,0.643643
534.0,0.644046
536.0,0.64457
538.0,0.643843
540.0,0.644455
542.0,0.644832
544.0,0.645721
546.0,0.645763
548.0,0.646054
550.0,0.645453
552.0,0.646433
554.0,0.645645
556.0,0.646351
558.0,0.647604
560.0,0.646883
562.0,0.647887
564.0,0.648149
566.0,0.647125
568.0,0.648737
570.0,0.648729
572.0,0.648686
574.0,0.648859
576.0,0.64925
578.0,0.648505
580.0,0.650068
582.0,0.65011
584.0,0.650199
586.0,0.6511
588.0,0.651131
590.0,0.651025
592.0,0.652122
594.0,0.652127
596.0,0.652656
598.0,0.652961
600.0,0.652576
602.0,0.653186
604.0,0.65422
606.0,0.654178
608.0,0.654257
610.0,0.653766
612.0,0.654438
614.0,0.655542
616.0,0.656251
618.0,0.655758
620.0,0.656499
622.0,0.657154
624.0,0.657059
626.0,0.656616
628.0,0.657503
630.0,0.658574
632.0,0.658928
634.0,0.658612
636.0,0.659161
638.0,0.659301
640.0,0.659346
642.0,0.660515
644.0,0.660616
646.0,0.660874
648.0,0.661925
650.0,0.661576
652.0,0.661649
654.0,0.6627
656.0,0.662456
658.0,0.662097
660.0,0.664063
662.0,0.664022
664.0,0.664176
666.0,0.664001
668.0,0.66412
670.0,0.665736
672.0,0.666675
674.0,0.666591
676.0,0.666969
678.0,0.667425
680.0,0.667447
682.0,0.668832
684.0,0.667603
686.0,0.667825
688.0,0.669627
690.0,0.669137
692.0,0.669226
694.0,0.670667
696.0,0.671031
698.0,0.672071
700.0,0.672173
702.0,0.672804
704.0,0.672972
706.0,0.673848
708.0,0.673415
710.0,0.6741
712.0,0.674189
714.0,0.675606
716.0,0.675616
718.0,0.675959
720.0,0.676579
722.0,0.676535
724.0,0.678051
726.0,0.678065
728.0,0.679015
730.0,0.679456
732.0,0.680047
734.0,0.680559
736.0,0.68066
738.0,0.680608
740.0,0.681281
742.0,0.682031
744.0,0.68249
746.0,0.683517
748.0,0.683385
750.0,0.68445
752.0,0.685057
754.0,0.684903
756.0,0.685646
758.0,0.685976
760.0,0.687436
762.0,0.687159
764.0,0.688396
