Distance,Entropy
152.0,0.663446
154.0,0.662258
156.0,0.661367
158.0,0.659553
160.0,0.659163
162.0,0.657656
164.0,0.656199
166.0,0.655957
168.0,0.654602
170.0,0.654113
172.0,0.653378
174.0,0.652029
176.0,0.651354
178.0,0.650874
180.0,0.65048
182.0,0.64964
184.0,0.648884
186.0,0.647971
188.0,0.648222
190.0,0.646898
192.0,0.645613
194.0,0.645423
196.0,0.645643
198.0,0.644626
200.0,0.644458
202.0,0.644407
204.0,0.643108
206.0,0.64245
208.0,0.642187
210.0,0.642528
212.0,0.641407
214.0,0.64155
216.0,0.640237
218.0,0.640386
220.0,0.640773
222.0,0.639948
224.0,0.639296
226.0,0.639296
228.0,0.639461
230.0,0.638031
232.0,0.638572
234.0,0.638154
236.0,0.63775
238.0,0.637439
240.0,0.637117
242.0,0.636932
244.0,0.636945
246.0,0.636176
248.0,0.635607
250.0,0.636516
252.0,0.635926
254.0,0.635123
256.0,0.6343
258.0,0.635121
260.0,0.634579
262.0,0.633923
264.0,0.633467
266.0,0.634216
268.0,0.63461
270.0,0.633975
272.0,0.63465
274.0,0.632622
276.0,0.632584
278.0,0.633711
280.0,0.633724
282.0,0.632786
284.0,0.63393
286.0,0.632954
288.0,0.632864
290.0,0.633322
292.0,0.632662
294.0,0.632334
296.0,0.632635
298.0,0.632291
300.0,0.632279
302.0,0.632601
304.0,0.632413
306.0,0.630963
308.0,0.631446
310.0,0.632165
312.0,0.632349
314.0,0.630556
316.0,0.630985
318.0,0.631497
320.0,0.631828
322.0,0.632177
324.0,0.631773
326.0,0.632037
328.0,0.631004
330.0,0.631014
332.0,0.631514
334.0,0.630699
336.0,0.631669
338.0,0.631815
340.0,0.631928
342.0,0.631642
344.0,0.630931
346.0,0.630495
348.0,0.631295
350.0,0.631769
352.0,0.630796
354.0,0.630697
356.0,0.631109
358.0,0.630931
360.0,0.631016
362.0,0.631698
364.0,0.631655
366.0,0.63172
368.0,0.63129
370.0,0.631934
372.0,0.63187
374.0,0.631847
376.0,0.631446
378.0,0.630871
380.0,0.631599
382.0,0.631221
384.0,0.631927
386.0,0.631123
388.0,0.631657
390.0,0.631529
392.0,0.632784
394.0,0.632385
396.0,0.632048
398.0,0.632754
400.0,0.632832
402.0,0.634738
404.0,0.632764
406.0,0.633074
408.0,0.633296
410.0,0.633048
412.0,0.633511
414.0,0.632254
416.0,0.633671
418.0,0.633708
420.0,0.633935
422.0,0.634402
424.0,0.633897
426.0,0.634185
428.0,0.634815
430.0,0.635137
432.0,0.634127
434.0,0.634235
436.0,0.634532
438.0,0.634979
440.0,0.634992
442.0,0.635051
444.0,0.636233
446.0,0.635338
448.0,0.634564
450.0,0.635321
452.0,0.635549
454.0,0.63651
456.0,0.637229
458.0,0.636661
460.0,0.635986
462.0,0.636138
464.0,0.637251
466.0,0.63676
468.0,0.637212
470.0,0.636724
472.0,0.636668
474.0,0.637465
476.0,0.637397
478.0,0.637184
480.0,0.638141
482.0,0.637814
484.0,0.638862
486.0,0.639332
488.0,0.638492
490.0,0.639389
492.0,0.638899
494.0,0.640623
496.0,0.639594
498.0,0.639996
500.0,0.640003
502.0,0.641094
504.0,0.640515
506.0,0.64019
508.0,0.640377
510.0,0.640776
512.0,0.641987
514.0,0.642036
516.0,0.641836
518.0,0.642287
520.0,0.64204
522.0,0.643492
524.0,0.642772
526.0,0.642734
528.0,0.642924
530.0,0.643735
532.0,0.644431
534.0,0.643768
536.0,0.644429
538.0,0.644703
540.0,0.644883
542.0,0.645588
544.0,0.644768
546.0,0.644895
548.0,0.645318
550.0,0.646388
552.0,0.645659
554.0,0.646868
556.0,0.646537
558.0,0.647091
560.0,0.646846
562.0,0.648131
564.0,0.647542
566.0,0.648688
568.0,0.647823
570.0,0.647865
572.0,0.648479
574.0,0.64868
576.0,0.650123
578.0,0.649951
580.0,0.6505
582.0,0.6496
584.0,0.650301
586.0,0.650321
588.0,0.651869
590.0,0.651066
592.0,0.651101
594.0,0.651346
596.0,0.652894
598.0,0.652984
600.0,0.652474
602.0,0.653863
604.0,0.654399
606.0,0.653179
608.0,0.654017
610.0,0.653893
612.0,0.65498
614.0,0.654899
616.0,0.655474
618.0,0.656403
620.0,0.656686
622.0,0.656444
624.0,0.657176
626.0,0.656607
628.0,0.657479
630.0,0.657786
632.0,0.658214
634.0,0.658792
636.0,0.659275
638.0,0.659355
640.0,0.659787
642.0,0.659765
644.0,0.660604
646.0,0.661209
648.0,0.660725
650.0,0.661365
652.0,0.662056
654.0,0.662159
656.0,0.6636
658.0,0.663445
660.0,0.663298
662.0,0.664149
664.0,0.665127
666.0,0.664636
668.0,0.665071
670.0,0.665347
672.0,0.666433
674.0,0.666548
676.0,0.667293
678.0,0.667667
680.0,0.667835
682.0,0.668821
684.0,0.668564
686.0,0.66891
688.0,0.669286
690.0,0.669319
692.0,0.670548
694.0,0.670205
696.0,0.670752
698.0,0.671922
700.0,0.671791
702.0,0.672247
704.0,0.673351
706.0,0.672931
708.0,0.673766
710.0,0.674209
712.0,0.67466
714.0,0.676365
716.0,0.676351
718.0,0.676546
720.0,0.677171
722.0,0.677748
724.0,0.67801
726.0,0.67817
728.0,0.678036
730.0,0.678367
732.0,0.679551
734.0,0.680152
736.0,0.680416
738.0,0.681384
740.0,0.680645
742.0,0.681815
744.0,0.682775
746.0,0.6838
748.0,0.683659
750.0,0.683777
752.0,0.683662
754.0,0.686281
756.0,0.685607
758.0,0.686463
760.0,0.687247
762.0,0.688352
764.0,0.688967
